,,,,,,,,,,,
,Romaji,Hiragana/Katakana,Kanji,Traducción Español,Traducción Inglés,Ejemplo,Ejemplo en español,Ejemplo en inglés,Nota en español,Nota en inglés,Minna no Nihongo
,Midori,みどり,緑,Verde (sustantivo),Green (noun),,,,,,Lección 8
,Murasaki,むらさき,紫,"Violeta, morado (sustantivo)","Violet, purple (noun)",,,,,,Lección 8
,Kīro,きいろ,黄色,Amarillo (sustantivo),e,,,,,,Lección 8
,Kīroi,きいろい,黄色い,Amarillo (adjetivo),Yellow (adjective),,,,,,Lección 8
,Chairo,ちゃいろ,茶色,Marrón (sustantivo),Brown (noun),,,,,,Lección 8
,Chairoi,ちやいろい,茶色い,Marrón (adjetivo),Brown (adjective),,,,,,Lección 8
,Pinku,ピンク,,Rosa (sustantivo),Pink (noun),,,,,,Lección 8
,Orenji,オレンジ,,Naranja (sustantivo),Orange (noun),,,,,,Lección 8
,Gurē,グレー,,Gris (sustantivo),Grey (noun),,,,,,Lección 8
,Bēju,ベージュ,,Beige (sustantivo),Beige (noun),,,,,,Lección 8
,Aji,あじ,味,Sabor,Flavor,,,,,,Lección 8
,Amai,あまい,甘い,Dulce,Sweet,,,,,,Lección 8
,Karai,からい,辛い,"Picante, picoso","Spicy, hot",,,,,,Lección 8
,Ikai,いかい,苦い,Amargo,Bitter,,,,,,Lección 8
,Shiokarai,しおからい,塩辛い,Salado,Salty,,,,,,Lección 8
,Suppai,すっぱい,酸っぱい,Ácido,Sour,,,,,,Lección 8
,Koi,こい,濃い,"Fuerte, marcado","Strong, thick",,,,,,Lección 8
,Usui,うすい,薄い,"Soso, no muy salado","Bland, weak (taste)",,,,,,Lección 8
,,,,,,,,,,,Lección 8
LECCIÓN 9,Wakarimasu,わかります,,Entender,Understand,,,,,,Lección 9
,Arigato,あります,,Haber,There is / There are,,,,,,Lección 9
,Suki [na],すき「な」,好き[な],Gustar,Like,,,,,,Lección 9
,Kirai [na],きらい「な」,嫌い[な],No gustar,(Do) not like,,,,,,Lección 9
,Shōzu [na],じょうず「な」,上手[な],"Ser bueno, hábil en",Be good at ,,,,,,Lección 9
,Heta [na],へた「な」,下手[な],"Ser malo, no ser hábil en",Be bad at / not be good at ,,,,,,Lección 9
,Ryōri,りょうり,料理,Cocina,Kitchen,,,,,,Lección 9
,Nomimono,のみもの,飲み物,Bebida,Bevarage,,,,,,Lección 9
,Supōtsu,スポーツ,,Deportes,Sports,,,,,,Lección 9
,Yukyū,ゆきゅう,野球,Béisbol,Baseball,,,,,,Lección 9
,Dansu,ダンス,,Danza,Dance,,,,,,Lección 9
,Ongaku,おんがく,音楽,Música,Music,,,,,,Lección 9
,Uta,うた,歌,Canción,Song,,,,,,Lección 9
,Kurashikku,クラシック,,Música clásica,Classical music,,,,,,Lección 9
,Karaoke,カラオケ,,Karaoke,Karaoke,,,,,,Lección 9
,E,え,絵,"Pintura, dibujo /","Paint, painting",,,,,,Lección 9
,Ji,じ,字,Letra,Letter (character),,,,,,Lección 9
,Jikan,じかん,時間,Tiempo,Time,,,,,,Lección 9
,Yōji,ようじ,用事,Algo que hacer,Something to do,,,,,,Lección 9
,Yukusoku,やくそく,約束,"Promesa, compromiso","Promise, compromise",,,,,,Lección 9
,Yoku,よく,,"Bien, mucho (grado)",,,,,,,Lección 9
,Daitai,だいたい,,Más o menos (grado),,,,,,,Lección 9
,Takusan,たくさん,,Mucho (cantidad),A lot,,,,,,Lección 9
,Sukoshi,すこし,少し,Poco (cantidad y grado),A little ,,,,,,Lección 9
,Zenzen,ぜんぜん,全然,Nada (cantidad y grado),No (quantity and degree),,,,,,Lección 9
,Hayaku,はやく,早く、速く,"Rápido, temprano","Fast, early",,,,,,Lección 9
,~Kara,〜から,,Porque...,Because,,,,,,Lección 9
,Dōshite,どうして,,¿Por qué?,Why,,,,,,Lección 9
,Zannen desu ne,ざんねんです [ね],残念です[ね],Es una lástima/ ¡Qué pena!,That's a pity! / What a shame!,,,,,,Lección 9
,Moshi moshi,もしもし,,"Haló, hola, bueno, dígame/oiga (al hablar por teléfono)",Hello? (Talking on the phone),,,,,,Lección 9
,Issho ni ikagadesu ka,いっしょにいかがですか,一緒にいかがですか,¿Nos acompaña?,Would you join us?,,,,,,Lección 9
,[wa] chotto,[は] ちょっと,,[...] es algo difícil,[...] is kind of difficult.,,,,Euferismo utilizado para rehusar una invitación,,Lección 9
,Damedesuka,だめですか,,"¿Así que no puede (venir, acompañarnos, etc.)?",Can't you come/join us/etc?,,,,,,Lección 9
,Mata kondo onegaishimasu,またこんどおねがいします,また今度お願いします,Por favor vuelva a invitarme la próxima vez,Please invite me again next time.,,,,Esta expresión se emplea al rehusar una invitación de manera indirecta considerando el sentimiento de quién le ha invitado,,Lección 9
,Poppusu,ポップス,,Popular tipo occidental (música),Pop music,,,,,,Lección 9
,Rokku,ロック,,Rock,Rock music,,,,,,Lección 9
,Jazu,ジャズ,,Jazz,Jazz music,,,,,,Lección 9
,Raten,ラテン,,Latina,Latin music,,,,,,Lección 9
,Minyoka,みんよか,民謡,Folklórica japonés,Folk music (Japanese),,,,,,Lección 9
,Enka,えんか,演歌,Popular tipo japonés,Traditional-style Japanese popular ballad,,,,,,Lección 9
,Myūjikaru,ミュージカル,,Teatro musical,Musical theatre,,,,,,Lección 9
,Opera,オペラ,,Opera,Opera,,,,,,Lección 9
,Eiga,えいが,映画,Película,Movie,,,,,,Lección 9
,SF,SF,,Ciencia ficción,Science Fiction (Sci fi),,,,,,Lección 9
,Horā,ホラー,,De horror,Horror,,,,,,Lección 9
,Anime,アニメ,,Dibujos animados,Cartoons,,,,,,Lección 9
,Dokyumentarī,ドキュメンタリー,,Documental,Docummentary,,,,,,Lección 9
,Renai,れんあい,恋愛,De romance,Romance,,,,,,Lección 9
,Misuterī,ミステリー,,"De detective, misterio",Mystery,,,,,,Lección 9
,Fungei,ふんげい,文芸,De obras literarias,Literature,,,,,,Lección 9
,Sensō,せんそう,戦争,Guerra,War,,,,,,Lección 9
,Akushon,アクション,,De acción,Action,,,,,,Lección 9
,Kigeki,きげき,喜劇,Cómica,Comedy,,,,,,Lección 9
,Sofubōru,ソフボール,,Softbol,Softball,,,,,,Lección 9
,Ragubī,ラグビー,,Rúgbi,Rugbi,,,,,,Lección 9
,Barēbōre,バレーボーレ,,Vóleibol,Volleyball,,,,,,Lección 9
,Basukettobōru,バスケットボール,,Baloncesto,Basketball,,,,,,Lección 9
,Bōringu,ボーリング,,Boliche,Bowling,,,,,,Lección 9
,Sukī,スキー,,Esquí,Ski,,,,,,Lección 9
,Sukēto,スケート,,Patinaje,Skating,,,,,,Lección 9
,Yashū,やきゅう,野球,Béisbol,Baseball,,,,,,Lección 9
,Takkyū • Pinpon,たっきゅう・ピンポン,卓球,Tenis de mesa. Ping pong,Ping pong,,,,,,Lección 9
,Sumō,すもう,相僕,Sumo,Sumo,,,,,,Lección 9
,Judō,じゅどう,柔道,Yudo,Yudo,,,,,,Lección 9
,Kendō,けんどう,剣道,Esgrima japonesa,Fencing,,,,,,Lección 9
,Suiei,すいえい,水泳,Natación,Swimming,,,,,,Lección 9
,Imasu,います,,"Estar, haber (personas, animales)","To be, there is (people, animals)",,,,,,Lección 10
,Orimasu,あります,,"Estar, haber (plantas y objetos)","To be, there is (plants and inanimate objects)",,,,,,Lección 10
,Iroiro [na],いろいろ「な」,,Diversos,Diverse,,,,,,Lección 10
,Otokonohito,おとこのひと,男の人,Hombre,Man,,,,,,Lección 10
,Onanohito,おんあのひと,女の人,Mujer,Woman,,,,,,Lección 10
,Otokonoko,おとこのこ,男の子,Niño,Boy,,,,,,Lección 10
,Onanoko,おんあのこ,女の子,Niña,Girl,,,,,,Lección 10
,Inu,いぬ,犬,Perro,Dog,,,,,,Lección 10
,Neko,ねこ,猫,Gato,Cat,,,,,,Lección 10
,Ki,き,木,Árbol,Tree,,,,,,Lección 10
,Mono,もの,物,Cosa,Thing,,,,,,Lección 10
,Denchi,でんち,電池,"Batería, pila",Battery,,,,,,Lección 10
,Hako,はこ,箱,Caja,Box,,,,,,Lección 10
,Suitchi,スイッチ,,Interruptor,Switch,,,,,,Lección 10
,Beddo,ベッド,,Cama,Bed,,,,,,Lección 10
,Reizōko,れいぞうこ,冷蔵庫,"Heladera, refrigerador","Refrigerator, freezer",,,,,,Lección 10
,Tēburu,テーブル,,Mesa,Table,,,,,,Lección 10
,Tana,たな,棚,Estante,Shelf,,,,,,Lección 10
,Doa,ドア,,Puerta,Door,,,,,,Lección 10
,Mado,まど,窓,Ventana,Window,,,,,,Lección 10
,Posuto,ポスト,,Buzón,Mailbox,,,,,,Lección 10
,Biru,ビル,,Edificio,Building,,,,,,Lección 10
,Kōen,こうえん,公園,Parque,Park,,,,,,Lección 10
,Kissaten,きっさてん,喫茶店,Cafetería,Coffee shop,,,,,,Lección 10
,Honya,ほにゃ,本屋,Librería,Library,,,,,,Lección 10
,~Ya,〜や,〜屋,Tienda de ___,____ store,,,,,,Lección 10
,Ue,うえ,上,Arriba,Above,,,,,,Lección 10
,Shita,した,下,Abajo,Under,,,,,,Lección 10
,Moe,まえ,前,Adelante,In front of,,,,,,Lección 10
,Ushiro,うしろ,,Atrás,Behind,,,,,,Lección 10
,Mogi,みぎ,右,Derecha,Right,,,,,,Lección 10
,Hidari,ひだり,左,Izquierda,Left,,,,,,Lección 10
,Naka,なか,中,Adentro,Inside,,,,,,Lección 10
,Soto,そと,外,Afuera,Outside,,,,,,Lección 10
,Tonari,となり,隣,Al lado,Next to,,,,,,Lección 10
,Chikaku,ちかく,近く,Cerca,Close to,,,,,,Lección 10
,Aida,あいだ,間,Entre,Between,,,,,,Lección 10
,Ya,や,,"""Y"" cuando hay más de dos elementos",,,,,,,Lección 10
,Ichiban,いちばん,,El más ___ (superlative),The most ____ (superlative),,,,,,Lección 10
,Uchinaka,うちなか,うちの中,En casa,At home,,,,,,Lección 10
,Genkan,げんかん,玄関,Vestíbulo,Hall,,,,,,Lección 10
,Furoba,ふろば,風呂場,Cuarto de baño,Bathroom,,,,,,Lección 10
,Senmenjo,せんめんじょ,洗面所,Lavabo,Washroom,,,,,,Lección 10
,Daidokoro,だいどころ,台所,Cocina,Kitchen,,,,,,Lección 10
,Ima,いま,居間,"Sala de estar, livin",Living room,,,,,,Lección 10
,Shinshitsu,しんしつ,寝室,Dormitorio,Bedroom,,,,,,Lección 10
,Rōka,ろうか,廊下,Pasillo,Hallway,,,,,,Lección 10
,Beranda,ベランダ,,Balcón,Balcony,,,,,,Lección 10
LECCIÓN 11,[Kaisha wo] yasumimasu,[かいしゃを] やすみます,[会社 を] 休みます,"Ausentarse [de la oficina], tomarse un descanso [de la oficina]",Take a day off [work],,,,,,Lección 11
,Kakarimasu,かかります,,"Tardar (tiempo), costar (dinero)","Take (time), cost",,,,,,Lección 11
,Hitotsu,ひとつ,一つ・1つ,Uno (expresión usada para contar objetos generales o sin forma concreta),One (used when counting general things or without an specific shape),良い考えを1つ思いつきます。/ Ii kangae wo hitotsu omoitukimasu.,Una buena idea se me ocurrío.,I came up with a good idea.,"El contador つ tambien suele ser utilizado para contar cosas abstractas, u órdenes de comida. Tambien puede ser usado para reemplazar otros contadores (si no se conoce el contador especifico). Otro uso particular es para la edad de un niño/a de hasta 10 años.",The counter つ is also utilized to count abstract things or food orders. It can also be used to replace other counters (If an specific counter is unknown). Another particular use of it is to count the age of children up to 10 years.,Lección 11
,Futatsu,ふたつ,二つ・2つ,Dos (expresión usada para contar objetos generales o sin forma concreta),Two (used when counting general things or without an specific shape),シャツを2つ買いました。/ Shatsu wo futatsu kaimashita.,Compré 2 camisas.,I bought 2 shirts.,"El contador つ tambien suele ser utilizado para contar cosas abstractas, u órdenes de comida. Tambien puede ser usado para reemplazar otros contadores (si no se conoce el contador especifico). Otro uso particular es para la edad de un niño/a de hasta 10 años.",The counter つ is also utilized to count abstract things or food orders. It can also be used to replace other counters (If an specific counter is unknown). Another particular use of it is to count the age of children up to 10 years.,Lección 11
,Mittsu,みっつ,三つ・3つ,Tres (expresión usada para contar objetos generales o sin forma concreta),Three (used when counting general things or without an specific shape),ハンバーグを３つ下さい。/ Hanbāgu wo mittsu kudasai.,Por favor deme 3 hamburguesas.,Please give me 3 burgers.,"El contador つ tambien suele ser utilizado para contar cosas abstractas, u órdenes de comida. Tambien puede ser usado para reemplazar otros contadores (si no se conoce el contador especifico). Otro uso particular es para la edad de un niño/a de hasta 10 años.",The counter つ is also utilized to count abstract things or food orders. It can also be used to replace other counters (If an specific counter is unknown). Another particular use of it is to count the age of children up to 10 years.,Lección 11
,Yottsu,よっつ,四つ・4つ,Cuatro (expresión usada para contar objetos generales o sin forma concreta),Four (used when counting general things or without an specific shape),日本には四つの季節があります。/ Nihon niwa yottsu no kisetsu ga arimasu.,En Japón hay 4 temporadas.,There are 4 seasons in Japan.,"El contador つ tambien suele ser utilizado para contar cosas abstractas, u órdenes de comida. Tambien puede ser usado para reemplazar otros contadores (si no se conoce el contador especifico). Otro uso particular es para la edad de un niño/a de hasta 10 años.",The counter つ is also utilized to count abstract things or food orders. It can also be used to replace other counters (If an specific counter is unknown). Another particular use of it is to count the age of children up to 10 years.,Lección 11
,Itsutsu,いつつ,五つ・5つ,Cinco (expresión usada para contar objetos generales o sin forma concreta),Five (used when counting general things or without an specific shape),5つ餠を食べました。/ Itsutsu mochi wo tabemashita.,Me comí 5 (pedazos) de mochi.,I ate 5 (pieces) of mochi.,"El contador つ tambien suele ser utilizado para contar cosas abstractas, u órdenes de comida. Tambien puede ser usado para reemplazar otros contadores (si no se conoce el contador especifico). Otro uso particular es para la edad de un niño/a de hasta 10 años.",The counter つ is also utilized to count abstract things or food orders. It can also be used to replace other counters (If an specific counter is unknown). Another particular use of it is to count the age of children up to 10 years.,Lección 11
,Muttsu,むっつ,六つ・6つ,Seis (expresión usada para contar objetos o sin forma concreta),Six (used when counting general things or without an specific shape),私の部屋には、テーブルが1つと 椅子が6つがあります。/ Watashi no heya niwa tēburu ga hitotsu to isu ga muttsu ga arimasu.,En mi cuarto hay 1 mesa y 6 sillas.,In my room there is a table and 6 chairs.,"El contador つ tambien suele ser utilizado para contar cosas abstractas, u órdenes de comida. Tambien puede ser usado para reemplazar otros contadores (si no se conoce el contador especifico). Otro uso particular es para la edad de un niño/a de hasta 10 años.",The counter つ is also utilized to count abstract things or food orders. It can also be used to replace other counters (If an specific counter is unknown). Another particular use of it is to count the age of children up to 10 years.,Lección 11
,Nanatsu,ななつ,七つ・7つ,Siete (expresión usada para contar objetos o sin forma concreta),Seven (used when counting general things or without an specific shape),川から石を7つもって帰りました。/ Kawakara ishi wo nanatsu motte kaerimashita.,Desde el río traje conmigo 7 piedras.,From the river I took with me 7 stones.,"El contador つ tambien suele ser utilizado para contar cosas abstractas, u órdenes de comida. Tambien puede ser usado para reemplazar otros contadores (si no se conoce el contador especifico). Otro uso particular es para la edad de un niño/a de hasta 10 años.",The counter つ is also utilized to count abstract things or food orders. It can also be used to replace other counters (If an specific counter is unknown). Another particular use of it is to count the age of children up to 10 years.,Lección 11
,Yattsu,やっつ,八つ・8つ,Ocho (expresión usada para contar objetos o sin forma concreta),Eight (used when counting general things or without an specific shape), 東京にはカーレースを8つ見ました。/ Nihon niwa kārēsuu wo yattsu mimashita.,Ví 8 carreras de autos en Tokyo.,I saw 8 car races on Tokyo.,"El contador つ tambien suele ser utilizado para contar cosas abstractas, u órdenes de comida. Tambien puede ser usado para reemplazar otros contadores (si no se conoce el contador especifico). Otro uso particular es para la edad de un niño/a de hasta 10 años.",The counter つ is also utilized to count abstract things or food orders. It can also be used to replace other counters (If an specific counter is unknown). Another particular use of it is to count the age of children up to 10 years.,Lección 11
,Kokonotsu,ここのつ,九つ・9つ,Nueve (expresión usada para contar objetos o sin forma concreta),Nine (used when counting general things or without an specific shape),"今日のテストには、辞書を使う問題が9つあります。/ Kyou no tesuto niwa, jisho wo tsukau mondai ga kokonotsu arimasu.",En la prueba de hoy hay 9 preguntas que necesitan de (el uso de) un diccionario.,"In today's test, there are 9 questions that require (the use of ) a dictionary.","El contador つ tambien suele ser utilizado para contar cosas abstractas, u órdenes de comida. Tambien puede ser usado para reemplazar otros contadores (si no se conoce el contador especifico). Otro uso particular es para la edad de un niño/a de hasta 10 años.",The counter つ is also utilized to count abstract things or food orders. It can also be used to replace other counters (If an specific counter is unknown). Another particular use of it is to count the age of children up to 10 years.,Lección 11
,Tō,とお,十,Diez (expresión usada para contar objetos),Ten,,,,"El contador つ tambien suele ser utilizado para contar cosas abstractas, u órdenes de comida. Tambien puede ser usado para reemplazar otros contadores (si no se conoce el contador especifico). Otro uso particular es para la edad de un niño/a de hasta 10 años.",The counter つ is also utilized to count abstract things or food orders. It can also be used to replace other counters (If an specific counter is unknown). Another particular use of it is to count the age of children up to 10 years.,Lección 11
,Ikutsu,いくつ,,"Cuántos, cuántas",How many,,,,,,Lección 11
,Hitori,ひとり,一人・１人,"Una persona, solo","One person, alone",,,,,,Lección 11
,Futari,ふたり,二人・２人,Dos personas,Two persons,,,,,,Lección 11
,~ nin,~ にん,~ 人,~ personas,~ people,,,,,,Lección 11
,~ dai,~ だい,~ 台,"(Contador de máquinas, vehículos, etc.)","(Counter for machines, vehicles, etc.)",,,,,,Lección 11
,~ mai,~ まい,~ 枚,(Contador de cosas de poco grosor o planas),(Counter for small and flat things),,,,,,Lección 11
,~ kai,~ かい,~ 回,~ veces,~ times,,,,,,Lección 11
,Ringo,りんご,,Manzana,Apple,,,,,,Lección 11
,Mikan,みかん,,"Naranja, mandarina","Orange, tangerine",,,,,,Lección 11
,Karē,カレー,,Curry,Curry,,,,,,Lección 11
,Aisukurīmu,アイスクリーム,,Helado,Ice cream,,,,,,Lección 11
,Kitte,きって,切手,Estampilla,Stamp,,,,,,Lección 11
,Hangaki,はがき,,Tarjeta postal,Postcard,,,,,,Lección 11
,Fūtō,ふうとう,封筒,Sobres,Envelope,,,,,,Lección 11
,Sokutatsu,そくたつ,速達,Correo urgente,Express mail,,,,,,Lección 11
,Kakitome,かきとめ,書留,Correo certificado,Registered mail,,,,,,Lección 11
,Ryōjin,りょうじん,両親,Padres,Parents,,,,,,Lección 11
,Kyōdai,きょうだい,兄弟,Hermanxs,Siblings,,,,,,Lección 11
,Ani,あに,兄,Hermano mayor (propio),Older brother (your own),,,,,,Lección 11
,Onīsan,おにいさん,お兄さん,Hermano mayor (ajeno),Older brother (for others),,,,,,Lección 11
,Ane,あね,姉,Hermana mayor (propia),Older sister (your own),,,,,,Lección 11
,Onēsan,おねえさん,お姉さん,Hermana mayor (ajena),Older sister (for others),,,,,,Lección 11
,Otōto,おとうと,弟,Hermano menor (propio),Younger brother (your own),,,,,,Lección 11
,Otōtosan,おとうとさん,弟さん,Hermano menor (ajeno),Younger brother (for others),,,,,,Lección 11
,Imōto,いもうと,妹,Hermana menor (propia),Younger sister (your own),,,,,,Lección 11
,Imōtosan,いもうとさん,妹さん,Hermana menor (ajena),Younger sister (for others),,,,,,Lección 11
,Gaikoku,がいこく,外国,País extranjero,Foreign country,,,,,,Lección 11
,~Jikan,〜じかん,ー時間,__ Horas,___ hours (period of time),,,,,,Lección 11
,~ Shūkan,しゅうかん,ー週間,__ Semanas,___weeks (period of time),,,,,,Lección 11
,~Kagetsu,〜かげつ,ーか月,__ Meses,___ months (period of time),,,,,,Lección 11
,~Nen,〜ねん,ー年,__ Años,___ years (period of time),,,,,,Lección 11
,~Gurai,〜ぐらい,,Más o menos,"about, around, approximately",,,,,,Lección 11
,Donogurai・Donokurai,どのぐらい・どのくらい,,Cuánto tiempo,how much time,,,,,,Lección 11
,Zenbude,ぜんぶで,全部で,En total,"In total, in all",,,,,,Lección 11
,Minna,みんな,皆,"Todo, todos",Everyone,,,,,,Lección 11
,~Dake,〜だけ,,Solo __,Only ___,,,,,,Lección 11
,Irasshaimasu,いらっしゃいませ,,Bienvenidos (compradores),Welcome! (Expression used at stores),,,,Expresión que se utiliza para darle la bienvenida a invitados o clientes.,,Lección 11
,ītenkidesune,いいてんきですね,いい[お]天気ですね,"Hay buen clima, no?","The weather is good, isn't it?",,,,,,Lección 11
,Odekake desu ka?,おでかけですか,お出かけですか,¿Vas a salir?,Are you going out?,,,,Se dirige a un vecino que va saliendo de su casa,,Lección 11
,Chotto [...] masu.,ちょっと 。。。ます,,Estoy saliendo sólo a...,I'm just going out to...,,,,(Respuesta habitual a お出かけですか),,Lección 11
,Itte irasshai,いっていらっしゃい,行っていらっしゃい,Que le vaya bien,Take care / Please come back,,,,"Lit. Vaya y vuelva. Se dirige a alguien que va saliendo de su casa, oficina, etc.",,Lección 11
,Itte mairimasu,いってまいります,行ってまいります,Hasta luego,See you soon / I'll be back,,,,Lit. Salgo y vuelvo. Saludo habitual de quien va saliendo.,,Lección 11
,Menyū,メニュー,,Cartas del menú,Menu,,,,,,Lección 11
,Teishōku,ていしょく,定食,Plato combiando,Mixed plate,,,,,,Lección 11
,Ranchi,ランチ,,Menú del día (a medio día),Menu of the day (at noon),,,,,,Lección 11
,Tendon,てんどん,天どん,Arroz cubierto de tempura sazonado,Rice covered with seasoned tempura,,,,,,Lección 11
,Oyakodon,おやこどん,親子どん,Arroz con pollo y huevo cocido con salsa de soya,Rice with chicken and eggs cooked with soy sauce,,,,,,Lección 11
,Gyūdon,ぎゅうどん,牛どん,Arroz con carne de res cocido con salsa de soya,Rice with beef cooked with soy sauce,,,,,,Lección 11
,Yakiniku,やきにく,焼肉,Carne de res asado al estilo coreano,Korean style beef,,,,,,Lección 11
,Yasaītame,やさいいため,野菜いため,Sofrito de verduras,Vegetable stir fry,,,,,,Lección 11
,Tsukemono,つけもの,漬物,Verduras encurtidas a la japonesa,Japanese pickled vegetables,,,,,,Lección 11
,Misoshiru,みそしる,みそ汁,Sopa de miso,Miso soup,,,,,,Lección 11
,Onigiri,おにぎり,お握り,Bolas de arroz,Rice balls,,,,,,Lección 11
,Tenpura,てんぷら,天ぷら,Fritura a la japonesa,Tempura / Japanese deep-frying in a light batter​,,,,,,Lección 11
,Sushi,すし,寿司,Bolitas de arroz sazonado con rodajas de pescado crudo encima,Seasoned rice balls with sliced raw fish,,,,,,Lección 11
,Udon,うどん,饂飩,Tallarines de trigo,Wheat noodles,,,,,,Lección 11
,Soba,そば,蕎麦,Tallarines de trigo rubión/alforfón,Japanese buckwheat noodles,,,,,,Lección 11
,Rāmen,ラーメン,,Tallarines chinos en caldo,Chinese noodles with broth,,,,,,Lección 11
,Yakisoba,やきそば,焼きそば,Tallarines chinos fritos,Fried Chinese noodles,,,,,,Lección 11
,Okonomiyaki,おこのみやき,お好み焼き,"Panqueque japonés con huevo, verduras, carne, etc.","Japanese pancake with egg, vegetables, meat, etc.",,,,,,Lección 11
,Karēraisu,カレーライス,,Arroz al cúrri,Curry rice,,,,,,Lección 11
,Hanbāge,ハンバーグ,,Hamburguesa,Hamburger,,,,,,Lección 11
,Korokke,コロッケ,,Croqueta,Croquette,,,,,,Lección 11
,Ebifurai,えびフライ,,Langostinos apanados fritos,Fried breaded prawns,,,,,,Lección 11
,Furaidochikin,フライドチきン,,Pollo frito,Fried chicken,,,,,,Lección 11
,Sarada,サラダ,,Ensalada,Salad,,,,,,Lección 11
,Sūpu,スープ,,"Sopa, caldo","Soup, broth",,,,,,Lección 11
,Supagetī,スパゲティー,,Espagueti,Spaghetti,,,,,,Lección 11
,Piza,ピザ,,Pizza,Pizza,,,,,,Lección 11
,Hanbāgā,ハンバーガー,,Bocadillos de hamburguesa,Hamburger snack,,,,,,Lección 11
,Sandōitchi,サンドウィッチ,,Sandwich,Sandwich,,,,,,Lección 11
,Tōsuto,トースト,,Tostadas,Toasts,,,,,,Lección 11
,Kōhī,コーヒー,,Café,Coffee,,,,,,Lección 11
,Kōcha,こうちゃ,紅茶,Te negro,Black tea,,,,,,Lección 11
,Kokoa,ココア,,Chocolate,Chocolate,,,,,,Lección 11
,Jūsu,ジュース,,"Jugo, zumo",Juice,,,,,,Lección 11
,Kōra,コーラ,,Coca Cola,Coke,,,,,,Lección 11
LECCIÓN 12,Kantan [na],かんたん「な」,簡単 [な],"Fácil, sencillo","Easy, simple",,,,,,Lección 12
,Chikai,ちかい,近い,Cercano,Close,,,,,,Lección 12
,Tōi,とおい,遠い,Lejano,Far,,,,,,Lección 12
,Hayai,はやい,速く、早く,"Rápido, temprano","Fast, early",,,,,,Lección 12
,Osoi,おそい,遅い,"Lento, tarde","Slow, late",,,,,,Lección 12
,Ōi,おおい,多い,"Mucho, muchos, mucha gente","Much, many, a lot of people",,,,,,Lección 12
,Tsukunai,すくない,少ない,"Un poco, poca gente",Few,,,,,,Lección 12
,Atatakai,あたたかい,暖かい、温かい,"Templado, cálido",Warm,,,,,,Lección 12
,Suzushī,すずしい,涼しい,Fresco,Fresh,,,,,,Lección 12
,Amai,あまい,甘い,Dulce,Sweet,,,,,,Lección 12
,Karai,からい,辛い,Picante,"Spicy, hot",,,,,,Lección 12
,Omoi,おもい,重い,Pesado,Heavy,,,,,,Lección 12
,Karui,かるい,軽い,"Ligero, liviano",Light,,,,,,Lección 12
,ī,いい,,Preferir,Prefer,,,,,,Lección 12
,Kisetsu,きせつ,季節,Estación del año,Season,,,,,,Lección 12
,Haru,はる,春,Primavera,Spring,,,,,,Lección 12
,Natsu,なつ,夏,Verano,Summer,,,,,,Lección 12
,Aki,あき,秋,Otoño,Autumn,,,,,,Lección 12
,Fubu,ふゆ,冬,Invierno,Winter,,,,,,Lección 12
,Tenki,てんき,天気,"Clima, tiempo",Weather,,,,,,Lección 12
,Ame,あめ,雨,Lluvia,Rain,,,,,,Lección 12
,Yuki,ゆき,雪,Nieve,Snow,,,,,,Lección 12
,Kumori,くもり,曇り,Nublado,Cloudy,,,,,,Lección 12
,Kūkō,くうこう,空港,Aeropuerto,Airport,,,,,,Lección 12
,Umi,うみ,海,"Mar, océano","Sea, ocean",,,,,,Lección 12
,Sekai,せかい,世界,Mundo,World,,,,,,Lección 12
,Matsuri,まつり,[お] 祭り,Festival,Festival,,,,,,Lección 12
,Shiken,しけん,試験,Examen,Exam,,,,,,Lección 12
,Sukiyaki,すきやき,すき焼き,Sukiyaki,Sukiyaki,,,,,,Lección 12
,Sashimi,さしみ,刺身,Sashimi,Sashimi,,,,,,Lección 12
,Ikebana,いけばな,生け花,Arreglo floral,Flower arrangement,,,,,,Lección 12
,Momiji,もみじ,紅葉,Hojas de otoño,Autumn leaves,,,,,,Lección 12
,Dochira,どちら,,Cuál,Which,,,,,,Lección 12
,Dochiramo,どちらも,,Cualquiera de los dos,Both,,,,,,Lección 12
,Zutto,ずっと,,"Mucho, muchos, mucha gente",Much,,,,,,Lección 12
,Hajimete,はじめて,,Mucho más,Much more,,,,,,Lección 12
,Tadaima,ただいま,,He llegado,I'm here!,,,,,,Lección 12
,Okaerinasai,おかえりなさい,,Bienvenido de regreso,Welcome back!,,,,,,Lección 12
,Suggoidesune,すっごいですね,,¡Qué increíble!,That's amazing!,,,,,,Lección 12
,Demo,でも,,Pero,But,,,,,,Lección 12
,Tsukaremashita,つかれました,疲れました,Estoy cansado,I'm tired,,,,,,Lección 12
,Asobimasu,あそびます,遊びます,"Jugar, divertirse",Play,,,,,,Lección 13
,Oyogimasu,およぎます,泳ぎます,Nadar,Swim,,,,,,Lección 13
,Mukaemasu,むかえます,迎えます,Recibir gente,To receive or welcome people,,,,,,Lección 13
,Tsukaremasu,つかれます,疲れます,Cansarse,Get married,,,,,,Lección 13
,Dashimasu,だします,出します,Enviar,Send,,,,,,Lección 13
,Hairimasu,はいります,入ります,Entrar,Get in,,,,,,Lección 13
,Demasu,でます,出ます,Salir,Go out,,,,,,Lección 13
,Kekkonshimasu,けっこんします,結婚します,Casarse,Get married,,,,,,Lección 13
